"item-img href","checkedimg2 src","item-rating href","item-rating-num","tag href","tag-text","item-title","item-promo","item-features","item-features 2","item-features 3","item-features 4","item-features 5","item-features 6","item-features 7","item-features 8","item-features 9","item-features 10","price-was-data","price-current 2","price-current 3","price-save-label","price-save-dollar","price-save-percent","price-ship","d2c-section-title src","d2c-section-title","d2c-section-desc","btn 2","item-brand href","item-brand src","product-price-ship-eligible","product-delivery-title","message-information"
"https://www.newegg.com/p/3D5-0007-00HW9","https://c1.neweggimages.com/productimage/nb300/AKCGS24062113FA5M0E.jpg","https://www.newegg.com/p/3D5-0007-00HW9#IsFeedbackTab","(30)","","","iBUYPOWER Y60 Gaming Desktop - Intel Core i9 13900KF, NVIDIA GeForce RTX 4070 12GB, 32GB DDR5 RGB RAM, 1TB NVMe SSD _Y60BI9N4703","","GeForce RTX 4070 12GB","GPU/VGA Type:","Intel Core i9-13900KF","CPU Name:","32GB DDR5","Memory Capacity:","1 TB","SSD:","Y60BI9N4703","Model #:","$1,999.99","1,799",".99","Save:","$200.00","(10%)","","","","","Add to cart","https://www.newegg.com/iBUYPOWER/BrandStore/ID-11210","https://c1.neweggimages.com/brandimage/Brand11210.gif","Free Shipping","from United States",""
"https://www.newegg.com/p/N82E16883360528","https://c1.neweggimages.com/productimage/nb300/83-360-528-01.jpg","https://www.newegg.com/p/N82E16883360528#IsFeedbackTab","(47)","https://www.newegg.com/Newegg-Select/EventSaleStore/ID-1836","Newegg Handpicked","ABS Cyclone Aqua Gaming PC - Intel i5 14400F - GeForce RTX 4070 - DLSS 3.5 - AI-Powered Performance - 32GB DDR5 6000MHz - 1TB M.2 NVMe SSD - CA14400F4070","Get Intel Holiday Bundle w/ purchase, limited offer","GeForce RTX 4070","GPU/VGA Type:","Intel Core i5-14400F","CPU Name:","32GB DDR5","Memory Capacity:","Windows 11 Home 64-bit","Operating System:","CA14400F4070","Model #:","$1,599.99","1,199",".99","Save:","$400.00","(25%)","","","","","Add to cart","https://www.newegg.com/ABS/BrandStore/ID-8484","https://c1.neweggimages.com/brandimage/Brand8484.gif","Free Shipping","from United States",""
"https://www.newegg.com/p/N82E16883151516","https://c1.neweggimages.com/productimage/nb300/83-151-516-03.jpg","https://www.newegg.com/p/N82E16883151516#IsFeedbackTab","(9)","","","MSI Aegis Z2 Gaming Desktop PC, AMD Ryzen 7 8700F, GeForce RTX 4070, 32GB DDR5, 1 TB SSD, Windows 11 Home, Aegis Z2 A8NUE-1045US","","650W 80+ Gold","Power Supply:","2.5Gbps","LAN Speed:","Wi-Fi 6E","WiFi Generation:","19.4'' x 9.1'' x19''","Dimensions (H x W x D):","Aegis Z2 A8NUE-1045US","Model #:","$1,399.00","1,299",".00","Save:","$100.00","(7%)","","","","","Add to cart","https://www.newegg.com/MSI/BrandStore/ID-1312","https://c1.neweggimages.com/brandimage/Brand1312.gif","","$16.21 shipping",""
"https://www.newegg.com/p/N82E16883360554","https://c1.neweggimages.com/productimage/nb300/83-360-554-01.jpg","https://www.newegg.com/p/N82E16883360554#IsFeedbackTab","(108)","","","ABS Cyclone Aqua Gaming PC – Windows 11 - Intel i7 14700F – GeForce RTX 4060 TI 8G – DLSS 3.5 - AI-Powered Performance - 32GB DDR5 6000MHz - 1TB M.2 NVMe SSD – CA14700F4060TI2","Get Intel Holiday Bundle w/ purchase, limited offer","ABS 650W 80+ Gold ATX PSU","Power Supply:","16.34"" x 7.87"" x 12.62""","Dimensions (H x W x D):","MSI GeForce RTX 4060 Ti 8G Ventus 2X with support for DLSS 3.5 - AI-Powered Performance","Graphics:","Gaming & Entertainment","Type:","CA14700F4060TI2","Model #:","$1,699.99","1,149",".99","Save:","$550.00","(32%)","","","","","Add to cart","https://www.newegg.com/ABS/BrandStore/ID-8484","https://c1.neweggimages.com/brandimage/Brand8484.gif","Free Shipping","from United States",""
"https://www.newegg.com/p/3D5-0007-00HV4","https://c1.neweggimages.com/productimage/nb300/AKCGS2401171814BV2C.jpg","https://www.newegg.com/p/3D5-0007-00HV4#IsFeedbackTab","(15)","","","iBUYPOWER Y40 Gaming Desktop PC, Intel i7-14700F, NVIDIA GeForce RTX 4070 Super 12GB, 32GB DDR5 RAM, 2TB SSD, Windows 11, PB-Y40BI7N47S-01","Get Intel Holiday Bundle w/ purchase, limited offer","GeForce RTX 4070 SUPER","GPU/VGA Type:","Intel Core i7-14700F","CPU Name:","32GB DDR5","Memory Capacity:","2 TB","SSD:","PB-Y40BI7N47S-01","Model #:","$1,799.99","1,599",".99","Save:","$200.00","(11%)","","","","","Add to cart","https://www.newegg.com/iBUYPOWER/BrandStore/ID-11210","https://c1.neweggimages.com/brandimage/Brand11210.gif","Free Shipping","from United States",""
"https://www.newegg.com/p/N82E16883101922","https://c1.neweggimages.com/productimage/nb300/83-101-920-01.jpg","https://www.newegg.com/p/N82E16883101922#IsFeedbackTab","(28)","","","Acer Nitro 60 Gaming Desktop PC, Intel Core i7-14700F, GeForce RTX 4070 Super, 32GB DDR5, 2TB PCIe Gen 4 SSD, Windows 11 Home, N60-640-UR14","","650W 80 Plus Gold","Power Supply:","Realtek 802.11ac supporting dual-stream 2.4GHz and 5GHz bands","WiFi Generation:","15.90"" x 8.50"" x 14.90""","Dimensions (H x W x D):","NVIDIA GeForce RTX 4070 SUPER 12 GB GDDR6X","Graphics:","DG.E4BAA.005","Model #:","$1,949.99","1,549",".99","Save:","$400.00","(20%)","Free Shipping","","","","Back order","https://www.newegg.com/Acer-America/BrandStore/ID-1146","https://c1.neweggimages.com/brandimage/Brand1146.gif","","","This product is temporarily out of stock because of high demand, we will replenish it as soon as possible."
"https://www.newegg.com/p/3D5-0007-00HV7","https://c1.neweggimages.com/productimage/nb300/AKCGS24012703NYKX2C.jpg","https://www.newegg.com/p/3D5-0007-00HV7#IsFeedbackTab","(15)","","","iBUYPOWER Y40BI Gaming Desktop PC, Intel i9-14900KF, NVIDIA GeForce RTX 4070 Ti Super 16GB, 32GB DDR5 RAM, 2TB SSD, Windows 11, PB-Y40BI9N47TS-01","Get Intel Holiday Bundle w/ purchase, limited offer","GeForce RTX 4070 Ti SUPER","GPU/VGA Type:","Intel Core i9-14900KF","CPU Name:","32GB DDR5","Memory Capacity:","2 TB","SSD:","PB-Y40BI9N47TS-01","Model #:","$2,399.00","1,999",".99","Save:","$399.01","(16%)","","","","","Add to cart","https://www.newegg.com/iBUYPOWER/BrandStore/ID-11210","https://c1.neweggimages.com/brandimage/Brand11210.gif","Free Shipping","from United States",""
"https://www.newegg.com/p/N82E16883630067","https://c1.neweggimages.com/productimage/nb300/83-630-067-02.jpg","https://www.newegg.com/p/N82E16883630067#IsFeedbackTab","(255)","","","Yeyian Yumi Gaming Desktop, Intel Core i5-14400F, RTX 4060 – AI Integrated, 32GB DDR4, 1TB SSD Gen 4.0, YPI-YU44F0C-4601N","Get Intel Holiday Bundle w/ purchase, limited offer","GeForce RTX 4060","GPU/VGA Type:","Intel Core i5-14400F","CPU Name:","32GB DDR4","Memory Capacity:","Windows 11 Home","Operating System:","YPI-YU44F0C-4601N","Model #:","$929.99","799",".99","Save:","$130.00","(13%)","","","","","Add to cart","https://www.newegg.com/YEYIAN/BrandStore/ID-207638","https://c1.neweggimages.com/brandimage/Brand207638.gif","Free Shipping","from United States",""
"https://www.newegg.com/yeyian-ypi-yu27f0c-4601n/p/N82E16883630043","https://c1.neweggimages.com/productimage/nb300/83-630-043-06.jpg","https://www.newegg.com/yeyian-ypi-yu27f0c-4601n/p/N82E16883630043#IsFeedbackTab","(255)","","","Yeyian Yumi Gaming PC Desktop, Intel Core i7-12700F, Nvidia RTX 4060, 32GB DDR4 3200MHz, 1TB SSD, 650W Gold PSU, AC Wi-Fi, Windows 11 64-bit, YPI-YU27F0C-4601N","","GeForce RTX 4060","GPU/VGA Type:","Intel Core i7-12700F","CPU Name:","32GB DDR4","Memory Capacity:","Windows 11 Home 64-bit","Operating System:","YPI-YU27F0C-4601N","Model #:","$1,299.00","909",".00","Save:","$390.00","(30%)","Free Shipping","","","","Back order","https://www.newegg.com/YEYIAN/BrandStore/ID-207638","https://c1.neweggimages.com/brandimage/Brand207638.gif","","","This product is temporarily out of stock because of high demand, we will replenish it as soon as possible."
"https://www.newegg.com/p/3D5-000Z-001M5","https://c1.neweggimages.com/productimage/nb300/A1HJS2411010JC5EADF.jpg","https://www.newegg.com/p/3D5-000Z-001M5#IsFeedbackTab","(12)","","","Skytech Legacy Gaming PC, Ryzen 7 7800X3D 4.2 GHz, NVIDIA RTX 4080 Super,16GB GDDR6X,DLSS 3, AI Enhancement Ready,360mm AIO,2TB Gen4 SSD, 64GB DDR5 5600 RGB, 1000W GOLD ATX 3.0,Wi-Fi, Win 11 Home","","AI Ready","AI Features:","Black","Color:","Ryzen 7 7000 Series","CPU Type:","1","Installed Qty:","ST-LEGACY4-1302-B-NE","Model #:","$2,999.99","2,499",".99","Save:","$500.00","(16%)","","https://c1.neweggimages.com/WebResource/Themes/Nest/icons/D2CIcon@1x.png","Available Direct from Skytech","This product is sold direct from the manufacturer.","Add to cart","https://www.newegg.com/Skytech/BrandStore/ID-28071","https://c1.neweggimages.com/brandimage/Brand28071.gif","Special Shipping","from United States",""
"https://www.newegg.com/p/N82E16883151549","https://c1.neweggimages.com/productimage/nb300/83-151-549-06.png","https://www.newegg.com/p/N82E16883151549#IsFeedbackTab","(9)","","","MSI Aegis Z Gaming Desktop PC, AMD Ryzen 7 7700, GeForce RTX 4060, 32GB DDR5, 2 TB M.2 NVMe SSD, Windows 11 Home, Aegis Z2 C7NUC-1207US","","GeForce RTX 4060","GPU/VGA Type:","AMD Ryzen 7 7700","CPU Name:","32GB DDR5","Memory Capacity:","Windows 11 Home Advance","Operating System:","Aegis Z2 C7NUC-1207US","Model #:","$1,199.00","1,029",".00","Save:","$170.00","(14%)","","","","","Add to cart","https://www.newegg.com/MSI/BrandStore/ID-1312","https://c1.neweggimages.com/brandimage/Brand1312.gif","Free Shipping","from United States",""
"https://www.newegg.com/p/3D5-001U-001F2","https://c1.neweggimages.com/productimage/nb300/AZEBS2411280FZ77NDE.jpg","https://www.newegg.com/p/3D5-001U-001F2#IsFeedbackTab","(26)","https://www.newegg.com/Newegg/EventSaleStore/ID-2094698","Newegg+ Deal","IPASON   Gaming Desktop, AMD Ryzen 5 5600, NVIDIA RTX 4060 8GB, 16GB DDR4 RAM, 1TB M.2 NVMe SSD,Windows 11 home,WIFI, Air Cooler ,  ARGB Fans , Pc for Gaming Design Office , Prebuilt Gaming Pc","off for Newegg+ members only w/ promo code DEALDZAZ66, limited offer","Black","Color:","64 bit 6-Core Processor","Processor Main Features:","Ryzen 5 5000 Series","CPU Type:","Usb Wifi Card","WLAN:","egg-5600+4060","Model #:","$1,599.00","790",".00","Save:","$809.00","(50%)","Free Shipping","https://c1.neweggimages.com/WebResource/Themes/Nest/icons/D2CIcon@1x.png","Available Direct from IPASON","This product is sold direct from the manufacturer.","Pre-order","https://www.newegg.com/IPASON/BrandStore/ID-211969","https://c1.neweggimages.com/brandimage/Brand211969.gif","","",""
"https://www.newegg.com/yeyian-ypi-yu34f0c-4601n-phoenix-glass/p/N82E16883630057","https://c1.neweggimages.com/productimage/nb300/83-630-057-08.jpg","https://www.newegg.com/yeyian-ypi-yu34f0c-4601n-phoenix-glass/p/N82E16883630057#IsFeedbackTab","(255)","","","Yeyian Yumi Gaming PC, Intel Core i5-13400F, GeForce RTX 4060 - AI Accelerated, 32GB DDR5 5600MHz RGB, 2TB SSD, 650W PSU, Windows 11 Home, YPI-YU34F0C-4601N","","GeForce RTX 4060","GPU/VGA Type:","Intel Core i5-13400F","CPU Name:","32GB DDR5","Memory Capacity:","Windows 11 Home 64-bit","Operating System:","YPI-YU34F0C-4601N","Model #:","$1,399.99","869",".99","Save:","$530.00","(37%)","Free Shipping","","","","Back order","https://www.newegg.com/YEYIAN/BrandStore/ID-207638","https://c1.neweggimages.com/brandimage/Brand207638.gif","","","This product is temporarily out of stock because of high demand, we will replenish it as soon as possible."
"https://www.newegg.com/p/N82E16883360553","https://c1.neweggimages.com/productimage/nb300/83-360-553-12.jpg","https://www.newegg.com/p/N82E16883360553#IsFeedbackTab","(5)","","","ABS Cyclone Ruby Gaming PC  - Windows 11 - Ryzen 7 7700X - GeForce RTX 4070 Super - DLSS 3.5 - AI-Powered Performance - 32GB DDR5 6000MHz - 1TB M.2 NVMe SSD - CR7700X4070S3","","GeForce RTX 4070 SUPER","GPU/VGA Type:","AMD Ryzen 7 7700X","CPU Name:","32GB DDR5","Memory Capacity:","Windows 11 Home","Operating System:","NPH#132","Model #:","$1,699.99","1,349",".99","Save:","$350.00","(20%)","Free Shipping","","","","Back order","https://www.newegg.com/ABS/BrandStore/ID-8484","https://c1.neweggimages.com/brandimage/Brand8484.gif","","","This product is temporarily out of stock because of high demand, we will replenish it as soon as possible."
"https://www.newegg.com/p/N82E16883630061","https://c1.neweggimages.com/productimage/nb300/83-630-061-12.jpg","https://www.newegg.com/p/N82E16883630061#IsFeedbackTab","(255)","","","Yeyian Yumi Gaming Desktop PC, AMD Ryzen 7 7500X, NVIDIA GeForce RTX 4060 - AI Accelerated, 32GB DDR4, 1TB PCIe SSD, 120mm AIO Liquid Cooler, 650W PSU, Windows 11 Home 64-bit, YPA-YU570XC-4601N","","YEYIAN 650W 80+ Gold","Power Supply:","Wi-Fi 6","WiFi Generation:","ASUS GeForce RTX 4060 - AI Accelerated","Graphics:","Gaming & Entertainment","Type:","YPA-YU570XC-4601N","Model #:","$1,399.99","879",".99","Save:","$520.00","(37%)","Free Shipping","","","","Back order","https://www.newegg.com/YEYIAN/BrandStore/ID-207638","https://c1.neweggimages.com/brandimage/Brand207638.gif","","","This product is temporarily out of stock because of high demand, we will replenish it as soon as possible."
"https://www.newegg.com/p/3D5-001U-001M4","https://c1.neweggimages.com/productimage/nb300/AZEBS2411280GAYJX03.jpg","https://www.newegg.com/p/3D5-001U-001M4#IsFeedbackTab","(113)","","","IPASON   Gaming Desktop, Intel i5 12400F, NVIDIA RTX 4060 8GB,16GB DDR4 RAM, 1TB M.2 NVMe SSD, Windows 11 home,WIFI, Air Cooler,  RGB Fans ,Pc for GamingDesignOffice, Prebuilt Gaming Pc","Release Date: 01/10/2025","Intel Core i5 12th Gen","CPU Type:","2.50GHz","CPU Base Frequency:","4.4GHz","Turbo Frequency:","EGG-12400F+3060-1","Model #:","","","$2,599.99","789",".00","Save:","$1,810.99","(69%)","Free Shipping","https://c1.neweggimages.com/WebResource/Themes/Nest/icons/D2CIcon@1x.png","Available Direct from IPASON","This product is sold direct from the manufacturer.","Pre-order","https://www.newegg.com/IPASON/BrandStore/ID-211969","https://c1.neweggimages.com/brandimage/Brand211969.gif","","",""
"https://www.newegg.com/p/N82E16883360542","https://c1.neweggimages.com/productimage/nb300/83-360-542-01.jpg","https://www.newegg.com/p/N82E16883360542#IsFeedbackTab","(16)","","","ABS Kaze Ruby Gaming PC - Windows 11 Home - Ryzen 7 7700X - GeForce RTX 4080 Super - DLSS 3.5 - AI-Powered Performance - 32GB DDR5 6000MHz - 1TB M.2 NVMe SSD (KR7700X4080S)","","GeForce RTX 4080 SUPER","GPU/VGA Type:","AMD Ryzen 7 7700X","CPU Name:","32GB (2x16GB)","Memory Capacity:","Windows 11 Home","Operating System:","KR7700X4080S","Model #:","$2,399.99","1,949",".99","Save:","$450.00","(18%)","","","","","Add to cart","https://www.newegg.com/ABS/BrandStore/ID-8484","https://c1.neweggimages.com/brandimage/Brand8484.gif","Free Shipping","from United States",""
"https://www.newegg.com/skytech-st-shadow4-1121-b-ne/p/3D5-000Z-001H2","https://c1.neweggimages.com/productimage/nb300/A1HJS2401170LNV752E.jpg","https://www.newegg.com/skytech-st-shadow4-1121-b-ne/p/3D5-000Z-001H2#IsFeedbackTab","(14)","","","Skytech Shadow Gaming PC, Intel i5 14400F 2.5 GHz, RTX 4070 Super, 1TB NVME, 32GB DDR4 RAM 3200, 650W GOLD PSU, Wi-Fi, Win 11 Home","Get Intel Holiday Bundle w/ purchase, limited offer","Black","Color:","Intel Core i5 14th Gen","CPU Type:","1","Installed Qty:","1","Max Supported Qty:","ST-SHADOW4-1121-B-NE","Model #:","$1,899.99","1,299",".99","Save:","$600.00","(31%)","","","","","Add to cart","https://www.newegg.com/Skytech/BrandStore/ID-28071","https://c1.neweggimages.com/brandimage/Brand28071.gif","Free Shipping","from United States",""
"https://www.newegg.com/p/N82E16883151512","https://c1.neweggimages.com/productimage/nb300/83-151-512-15.jpg","https://www.newegg.com/p/N82E16883151512#IsFeedbackTab","(90)","","","MSI Codex R2 Gaming PC, Intel Core i7-14700F, GeForce RTX 4070, 32GB DDR5, 1 TB M.2 NVMe SSD, Windows 11 Home, Codex R2 C14NUE7-267US","Get Intel Holiday Bundle w/ purchase, limited offer","650W 80+ Gold","Power Supply:","2.5Gbps","LAN Speed:","Wi-Fi 7","WiFi Generation:","8.4"" x 16.1"" x 19.1""","Dimensions (H x W x D):","Codex R2 C14NUE7-267US","Model #:","$1,599.00","1,349",".00","Save:","$250.00","(15%)","","","","","Add to cart","https://www.newegg.com/MSI/BrandStore/ID-1312","https://c1.neweggimages.com/brandimage/Brand1312.gif","Free Shipping","from United States",""
